Breed,FCINumber,Section,Subsection,Country,Status,DateAcceptance,DateStandard,Language,WorkingTrial,URL
STABIJHOUN,222,Continental Pointing Dogs,Spaniel Type,"THE NETHERLANDS",Recognized on a definitive basis,2/25/1960,11/3/2014,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/STABIJHOUN-222.html
STAFFORDSHIRE BULL TERRIER,76,Bull type Terriers,,"GREAT BRITAIN",Recognized on a definitive basis,10/21/1954,6/24/1987,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/STAFFORDSHIRE-BULL-TERRIER-76.html
STEIRISCHE RAUHHAARBRACKE,62,Scent hounds,Medium-sized Hounds,"AUSTRIA",Recognized on a definitive basis,8/31/1954,10/10/1995,German,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/COARSE-HAIRED-STYRIAN-HOUND-62.html
SUOMENAJOKOIRA,51,Scent hounds,Medium-sized Hounds,"FINLAND",Recognized on a definitive basis,8/8/1954,7/17/1997,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/FINNISH-HOUND-51.html
SUOMENLAPINKOIRA,189,Nordic Watchdogs and Herders,,"FINLAND",Recognized on a definitive basis,8/22/1955,9/30/2016,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/FINNISH-LAPPONIAN-DOG-189.html
SUOMENPYSTYKORVA,49,Nordic Hunting Dogs,,"FINLAND",Recognized on a definitive basis,8/3/1954,4/4/2016,English,"Subject to a working trial only for the Nordic countries (Finland, Norway, Sweden)",https://fci.be/en/nomenclature/FINNISH-SPITZ-49.html
SUSSEX SPANIEL,127,Flushing Dogs,,"GREAT BRITAIN",Recognized on a definitive basis,12/31/1954,10/13/2010,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/SUSSEX-SPANIEL-127.html
SVENSK LAPPHUND,135,Nordic Watchdogs and Herders,,"SWEDEN",Recognized on a definitive basis,1/19/1955,11/10/2011,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/SWEDISH-LAPPHUND-135.html
TAIWAN DOG,348,Primitive type - Hunting Dogs,,"TAIWAN",Recognized on a definitive basis,6/9/2015,6/9/2015,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/TAIWAN-DOG-348.html
TERRIER BRASILEIRO,341,Large and medium sized Terriers,,"BRAZIL",Recognized on a definitive basis,5/21/2007,5/14/2022,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/BRAZILIAN-TERRIER-341.html
THAI BANGKAEW DOG,358,Asian Spitz and related breeds,,"THAILAND",Recognized on a definitive basis,6/21/2022,4/14/2011,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/THAI-BANGKAEW-DOG-358.html
THAI RIDGEBACK DOG,338,Primitive type - Hunting Dogs,,"THAILAND",Recognized on a definitive basis,5/26/2003,5/26/2003,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/THAI-RIDGEBACK-DOG-338.html
TIBETAN SPANIEL,231,Tibetan breeds,,"Tibet (China)",Recognized on a definitive basis,8/22/1961,3/18/2015,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/TIBETAN-SPANIEL-231.html
TIBETAN TERRIER,209,Tibetan breeds,,"Tibet (China)",Recognized on a definitive basis,12/18/1957,8/22/2017,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/TIBETAN-TERRIER-209.html
TIROLER BRACKE,68,Scent hounds,Medium-sized Hounds,"AUSTRIA",Recognized on a definitive basis,10/8/1954,10/10/1995,German,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/TYROLEAN-HOUND-68.html
TORNJAK,355,Molossian type,Mountain type,"BOSNIA AND HERZEGOVINA, CROATIA",Recognized on a definitive basis,11/7/2017,11/7/2017,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/BOSNIAN-AND-HERZEGOVINIAN-CROATIAN-SHEPHERD-DOG-355.html
TOSA,260,Molossian type,Mastiff type,"JAPAN",Recognized on a definitive basis,4/1/1964,12/9/1997,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/TOSA-260.html
VOLPINO ITALIANO,195,European Spitz,,"ITALY",Recognized on a definitive basis,2/25/1956,9/8/2023,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/ITALIAN-VOLPINO-195.html
